mean,std,variance,min,max,median,q25,q75,entropy,autocorr_lag1,hurst_exponent,sample_id,class_label,text_length,num_tokens
5649.0034,37249.49,1387524500.0,1.0019243,420586.2,12.747307,2.9991868,250.54459,0.18935573038220552,-0.018364838565440772,0.5422714151532222,78,ai_gen0,135,160
1521.7051,6895.8735,47553070.0,1.0003108,65324.53,14.967978,1.9412794,171.78638,0.3652372001424816,0.09815400502988075,0.5160227940455174,79,ai_gen0,141,173
2068.748,11900.384,141619140.0,1.0000134,148629.25,18.873173,3.782614,389.90045,0.2965949251915413,-0.0040495011123546296,0.4945764617813537,80,ai_gen0,140,167
1877.3804,12075.867,145826580.0,1.003972,145941.44,12.195051,2.66523,203.6436,0.2561411661885456,-0.020801788535461847,0.5170596180373797,81,ai_gen0,132,153
3270.3542,15592.477,243125330.0,1.0011916,144962.12,46.3657,2.9558816,465.07248,0.34843987758026335,-0.03593164388733911,0.5470940702588503,82,ai_gen0,135,160
2529.56,15068.355,227055330.0,1.0000745,162062.61,13.331951,2.379576,143.82932,0.24128927050401558,-0.024596057329252047,0.4939578790924237,83,ai_gen0,146,172
14457.902,152035.73,23114867000.0,1.0001699,2008924.8,9.535479,2.3966584,104.06444,0.10503258026566327,-0.0008689173294897207,0.49801818231419837,84,ai_gen0,149,176
1706.8853,8064.5317,65036670.0,1.0015258,69421.18,17.139124,4.146508,243.25272,0.3541088012159056,-0.04071931516926948,0.4570910507374943,85,ai_gen0,148,170
2968.1626,12548.444,157463460.0,1.0036778,104756.195,15.709152,2.5394142,242.23784,0.39884786824030344,0.04276399189022855,0.4302753084448001,86,ai_gen0,143,178
1507.4703,9047.132,81850600.0,1.0005649,115077.305,15.058095,2.275206,151.7688,0.2412591877363625,-0.01946020510826417,0.4905633503760146,87,ai_gen0,159,196
879.4089,3270.315,10694960.0,1.000894,31815.781,22.045322,3.170067,239.33426,0.45209579684908674,-0.041939624066205695,0.47978385911880556,88,ai_gen0,135,156
3149.5508,15869.37,251836910.0,1.007668,174230.14,26.619598,3.4523685,564.5575,0.25262832118834705,-0.03566026507537763,0.5672080715279797,89,ai_gen0,143,192
5564.978,50295.67,2529654800.0,1.0008816,689424.25,18.871387,2.9914756,299.82312,0.1136634536467822,-0.012050553731104315,0.4876499293179002,90,ai_gen0,172,211
